logFC	AveExpr	t	P.Value	adj.P.Val	B	
CTSS	1.007287076	5.267156701	5.489646154	7.11E-08	8.29E-07	7.496033408
FCER1G	1.096975407	5.68969813	5.050259649	6.68E-07	6.34E-06	5.345270806
HSPA2	-1.27888592	1.751205219	-7.441207526	6.01E-13	1.88E-11	18.82460905
HSP90AA1	1.237069416	7.595613549	10.95264931	1.24E-24	4.68E-22	45.18449603
HSP90AB1	1.132399337	8.654665127	10.3495385	1.96E-22	4.31E-20	40.21228131
ICAM1	1.06795418	4.118930794	5.493777017	6.96E-08	8.12E-07	7.516990172
MICB	1.0378695	2.048611698	6.834061143	3.04E-11	6.90E-10	15.00595612
TAP1	1.131275808	5.220281108	5.768328484	1.59E-08	2.13E-07	8.940024182
CXCL14	-1.198231783	4.853661428	-3.370967983	0.000820869	0.003546812	-1.369724092
CXCL16	1.441536716	5.857212275	8.853089465	2.67E-17	1.84E-15	28.61908592
CXCL8	2.424087606	4.118348631	7.007146061	1.02E-11	2.53E-10	16.0688167
CXCL10	2.014492927	3.904985573	6.230759537	1.16E-09	1.96E-08	11.46850829
CXCL9	2.308158987	4.037358662	6.735401372	5.61E-11	1.21E-09	14.40953234
CXCL5	1.611485948	3.694467539	3.272958196	0.001155427	0.004784195	-1.684434375
CXCL11	1.526011109	2.247927156	5.496835478	6.85E-08	8.01E-07	7.532515146
CXCL6	1.050401431	1.377326718	4.496587691	9.02E-06	6.57E-05	2.861751267
CXCL1	2.627885567	4.745514406	7.864407768	3.39E-14	1.34E-12	21.63138365
CXCL12	-1.22751771	2.676289567	-5.833976987	1.11E-08	1.54E-07	9.289013026
CXCL3	1.585658205	3.372215933	5.636423865	3.25E-08	4.10E-07	8.248955612
DEFA6	-2.159482734	1.035270474	-5.844665954	1.04E-08	1.46E-07	9.346151435
DEFA5	-2.813413679	1.131584299	-6.928317199	1.68E-11	4.00E-10	15.58216074
S100A9	-1.146005772	5.464381963	-2.752242367	0.006184404	0.02025289	-3.207743988
S100A8	-1.744942327	3.253836631	-4.282330805	2.31E-05	0.000151993	1.970484282
S100A12	-1.277956801	1.349276035	-5.452595625	8.64E-08	9.90E-07	7.308674916
MMP12	2.002416218	3.629407743	5.516986952	6.16E-08	7.28E-07	7.6349912
PTGDS	-1.332116703	3.607453696	-4.518353737	8.19E-06	6.02E-05	2.954499044
